description_zh,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_total_dietary_g,sugars_g,fe_mg,na_mg,serving_size_g,description_en,source
芝士肉蛋饼,209.0,13.27,16.74,1.43,0.0,0.55,1.4,399.0,135.0,"Egg omelet or scrambled egg, with cheese and meat, NS as to fat type",fndd
芝士舒芙蕾,207.0,9.43,16.01,6.38,0.1,2.44,0.76,314.0,71.5,Cheese souffle,fndd
芝士蔬菜披萨，中等饼底,221.0,9.29,8.22,27.63,2.1,3.37,2.34,463.0,194.0,"Pizza with cheese and extra vegetables, medium crust",fndd
芝士蔬菜炒蛋,188.0,11.63,14.87,1.89,0.2,0.76,1.3,305.0,135.0,"Egg omelet or scrambled egg, with cheese and vegetables other than dark green and/or tomatoes, fat added",fndd
芝士蔬菜薄饼比萨,208.0,8.68,7.8,25.98,2.1,3.31,2.3,441.0,150.0,"Pizza with cheese and extra vegetables, thin crust",fndd
芝士蛋糕,399.0,5.29,26.52,34.82,0.5,26.64,0.75,277.0,175.0,"Cheesecake, plain",fndd
芝士蛋糕巧克力,394.0,5.72,26.14,35.52,1.6,25.9,1.14,269.0,175.0,"Cheesecake, chocolate",fndd
芝士蛋糕，水果,387.0,4.8,23.88,38.23,0.6,28.83,0.72,252.0,200.0,"Cheesecake, fruit",fndd
芝士酱,148.66666666666666,3.6566666666666663,11.113333333333332,8.446666666666667,0.2333333333333333,0.2166666666666666,0.4000000000000001,740.0,44.333333333333336,Cheese dip,fndd
芝士酱虾面,136.0,8.18,5.37,13.45,0.6,0.24,0.83,192.0,252.0,Shrimp and noodles with cheese sauce,fndd
芝士酱香肠饭,151.0,6.32,7.61,13.94,0.2,0.22,0.77,373.0,274.5,Sausage and rice with cheese sauce,fndd
芝士风味米饭,124.0,2.99,1.2,25.22,0.6,1.8,1.46,389.0,230.0,Flavored rice mixture with cheese,fndd
芝士饼干,489.0,10.93,22.74,59.42,2.3,4.53,4.88,973.0,18.0,"Crackers, cheese",fndd
芝士马芬,367.0,9.72,23.0,30.51,1.0,1.88,2.53,491.0,100.0,"Muffin, cheese",fndd
芝士鸡蛋饼,171.0,13.41,12.34,1.49,0.0,0.54,1.51,344.0,120.0,"Egg omelet or scrambled egg, with cheese, no added fat",fndd
芝士麦片粥,108.0,3.56,5.28,11.36,0.6,0.12,0.42,143.0,212.5,"Grits, with cheese, NS as to fat",fndd
芝心通心粉（番茄酱味）,146.0,7.0,5.76,16.88,0.9,1.76,1.43,422.0,127.5,"Stuffed shells, cheese-filled, with tomato sauce, meatless",fndd
芝麻油,884.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,14.0,Sesame oil,fndd
芝麻籽,631.0,20.45,61.21,11.73,11.6,0.48,6.36,47.0,78.0,Sesame seeds,fndd
芝麻菜生菜,25.0,2.58,0.66,3.65,1.6,2.05,1.46,27.0,15.0,"Lettuce, arugula, raw",fndd
芝麻菜，婴儿，生,0.0,1.64875,0.33875,5.36825,2.275,0.0,1.57325,79.025,0.0,"Arugula, baby, raw",foundation
芝麻菜，生的,32.0,2.6,0.7,5.5,1.1,4.4,1.3,14.0,6.0,"Cress, raw",fndd
芝麻酱,570.0,11.405,53.8,11.39,4.7,4.405,3.8,532.0,25.75,Sesame dressing,fndd
芝麻酱（芝麻糊），奶油味,0.0,0.0,62.725,0.0,8.455,0.0,7.105,0.0,0.0,"sesame seed butter (tahini), creamy",foundation
芝麻酱，奶油味,0.0,19.7054,62.4,14.179,8.372,0.0,7.003,63.63,0.0,"Sesame butter, creamy",foundation
芝麻酱，轻盈口味,102.0,0.39,6.68,9.99,0.0,9.16,0.25,891.0,36.5,"Sesame dressing, light",fndd
芝麻鸡,293.0,14.33,14.25,26.88,0.7,15.98,1.09,482.0,134.0,Sesame chicken,fndd
芥末豌豆,432.0,14.11,14.11,62.2,3.8,14.11,3.8,300.0,75.0,Wasabi peas,fndd
芥末酱,180.5,3.24,7.140000000000001,25.715,5.199999999999999,7.31,1.045,2245.0,5.0,Mustard,fndd
芥菜，冷冻，加油烹饪,61.0,2.88,3.3,6.87,2.7,0.55,1.09,161.0,131.5,"Collards, frozen, cooked with oil",fndd
芥菜，冷冻，煮熟，加脂肪，脂肪类型不详,58.0,2.88,2.94,6.88,2.7,0.56,1.09,169.0,131.5,"Collards, frozen, cooked, fat added, NS as to fat type",fndd
芥菜，冷冻，煮熟，无添加脂肪,36.0,2.96,0.41,7.08,2.8,0.57,1.12,166.0,127.5,"Collards, frozen, cooked, no added fat",fndd
芥菜，新鲜，煮熟，加脂肪,58.0,3.15,3.37,5.65,4.2,0.48,0.49,148.0,101.5,"Collards, fresh, cooked, fat added, NS as to fat type",fndd
芥菜，新鲜，煮熟，无添加脂肪,34.0,3.24,0.65,5.81,4.3,0.49,0.5,143.0,97.5,"Collards, fresh, cooked, no added fat",fndd
芥菜，煮熟,58.0,3.15,3.37,5.65,4.2,0.48,0.49,148.0,101.5,"Collards, NS as to form, cooked",fndd
芥菜，熟，加油,61.0,3.14,3.76,5.64,4.2,0.48,0.49,139.0,101.5,"Collards, fresh, cooked with oil",fndd
芥菜，生,32.0,2.994375,0.69,6.221125,3.86,0.46,0.601,12.8,27.0,"Collards, raw",foundation
芥菜，黄油或人造黄油煮熟,54.0,3.16,2.99,5.65,4.2,0.49,0.49,157.0,101.5,"Collards, fresh, cooked with butter or margarine",fndd
芥黄叶酸,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Folate, Mustard, yellow, FRENCHS CLASSIC (AL,CA1) - NFY120HYH",foundation
芦笋,21.0,1.89875,0.1937666666666666,4.6306,2.0226666666666664,2.02,1.0577,43.645,53.0,"Asparagus, green, raw",foundation
芦笋，冷冻，煮熟，加脂肪,40.0,2.86,2.95,1.86,1.5,0.32,0.55,124.0,54.5,"Asparagus, frozen, cooked, fat added, NS as to fat type",fndd
芦笋，冷冻，煮熟，无添加脂肪,18.0,2.94,0.42,1.91,1.6,0.32,0.56,119.0,53.0,"Asparagus, frozen, cooked, no added fat",fndd
芦笋，冷冻，黄油或人造黄油烹饪,37.0,2.87,2.59,1.87,1.5,0.32,0.54,132.0,54.5,"Asparagus, frozen, cooked with butter or margarine",fndd
芦笋，冻的，油煮,44.0,2.86,3.31,1.86,1.5,0.31,0.55,115.0,54.5,"Asparagus, frozen, cooked with oil",fndd
芦笋，油炸,49.0,2.29,3.25,4.04,2.2,1.96,2.23,123.0,54.5,"Asparagus, fresh, cooked with oil",fndd
芦笋，煮熟,45.0,2.3,2.86,4.04,2.2,1.96,2.23,132.0,54.5,"Asparagus, NS as to form, cooked",fndd
芦笋，煮熟，加脂肪,45.0,2.3,2.86,4.04,2.2,1.96,2.23,132.0,54.5,"Asparagus, fresh, cooked, fat added, NS as to fat type",fndd
芦笋，生,20.0,2.2,0.12,3.88,2.1,1.88,2.14,2.0,42.0,"Asparagus, raw",fndd
芦笋，罐装，黄油或人造黄油煮,38.0,2.09,2.82,2.4,1.6,1.04,1.78,296.0,123.0,"Asparagus, canned, cooked with butter or margarine",fndd
芦笋，黄油或人造黄油烹饪,42.0,2.31,2.48,4.05,2.2,1.97,2.23,141.0,54.5,"Asparagus, fresh, cooked with butter or margarine",fndd
芦荟vera果汁饮料,15.0,0.0,0.0,3.75,0.0,3.75,0.15,8.0,31.0,Aloe vera juice drink,fndd
芫荽（生）,36.0,2.97,0.79,6.33,3.3,0.85,6.2,56.0,4.0,"Parsley, raw",fndd
芬尼瓦尔,107.0,0.57,0.28,16.17,0.2,14.71,0.06,2.0,225.0,Fuzzy Navel,fndd
花椰菜,33.5,1.785,1.525,4.41,2.35,1.505,0.42,84.5,142.5,"Cauliflower, cooked, as ingredient",fndd
花椰菜，冷冻，油炸,45.0,1.56,3.12,3.63,2.6,1.02,0.4,130.0,142.5,"Cauliflower, frozen, cooked with oil",fndd
花椰菜，冷冻，煮熟，无添加脂肪,19.0,1.6,0.22,3.74,2.7,1.05,0.41,134.0,139.0,"Cauliflower, frozen, cooked, no added fat",fndd
花椰菜，冷冻，黄油或人造黄油煮熟,38.0,1.58,2.4,3.64,2.6,1.03,0.4,147.0,142.5,"Cauliflower, frozen, cooked with butter or margarine",fndd
花椰菜，油炸,52.0,1.94,3.31,5.01,2.0,1.93,0.43,147.0,46.5,"Cauliflower, fresh, cooked with oil",fndd
花椰菜，煮熟，加油，脂肪类型不详,49.0,1.94,2.93,5.02,2.0,1.93,0.43,156.0,46.5,"Cauliflower, fresh, cooked, fat added, NS as to fat type",fndd
花椰菜，煮熟，无添加脂肪,26.0,1.99,0.29,5.16,2.1,1.98,0.44,152.0,45.5,"Cauliflower, fresh, cooked, no added fat",fndd
花椰菜，熟,49.0,1.94,2.93,5.02,2.0,1.93,0.43,156.0,46.5,"Cauliflower, NS as to form, cooked",fndd
花椰菜，生,25.0,1.7803125,0.27,4.8465375,1.974,1.91,0.369,24.45,34.0,"Cauliflower, raw",foundation
花椰菜，腌制,41.0,1.59,0.25,8.98,1.7,6.45,0.35,969.0,30.0,"Cauliflower, pickled",fndd
花椰菜，黄油或人造黄油烹饪,46.0,1.95,2.56,5.02,2.0,1.94,0.42,165.0,46.5,"Cauliflower, fresh, cooked with butter or margarine",fndd
"花生, 未加工食品状态",587.0,24.35,49.66,21.26,8.4,4.9,1.58,410.0,28.35,"Peanuts, NFS",fndd
花生奶油派,421.0,5.92,30.13,33.09,1.1,21.71,0.79,236.0,150.0,"Pie, peanut butter cream",fndd
花生奶油糖霜， Kroger（印第安纳州、密歇根州）- NFY120CC8品牌/其他品牌,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Sugars, Peanut butter, creamy, store brand/other brand, KROGER (IN,MI) - NFY120CC8",foundation
花生奶油酱,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Niacin, Peanut butter, creamy, store brand/other brand, SAFEWAY KITCHENS & SHOP RITE (CO,CT) - NFY120CCW",foundation
花生汤,88.0,3.24,5.29,8.36,1.7,2.61,0.41,246.0,245.0,"Soup, peanut",fndd
花生油,900.0,0.0,100.0,0.0,0.0,0.0,0.03,0.0,14.0,"OIL, PEANUT",foundation
花生糖,486.0,7.57,18.98,71.24,2.5,51.33,1.22,445.0,30.0,"Candy, peanut brittle",fndd
花生豆奶酥,469.0,38.55,25.4,30.22,17.7,4.2,3.9,163.0,57.0,Soy nuts,fndd
花生酱,427.5,14.26,33.69,22.165,3.4,13.78,1.325,882.0,28.0,"Fatty Acids, Peanut butter, creamy, JIF (AL,CA1) - NFY120C94",foundation
花生酱三明治，NFS,382.0,13.88,20.21,39.85,3.2,7.13,2.8,442.0,92.0,"Peanut butter sandwich, NFS",fndd
花生酱三明治，低脂花生酱，全麦面包,353.0,16.44,14.42,42.02,5.3,6.62,2.72,475.0,92.0,"Peanut butter sandwich, with reduced fat peanut butter, on wheat bread",fndd
花生酱三明治，普通花生酱，全麦面包,380.0,15.16,20.46,37.38,5.3,7.04,2.66,435.0,92.0,"Peanut butter sandwich, with regular peanut butter, on wheat bread",fndd
花生酱三明治，普通花生酱，白面包,382.0,13.88,20.21,39.85,3.2,7.13,2.8,442.0,92.0,"Peanut butter sandwich, with regular peanut butter, on white bread",fndd
花生酱填充硬椒盐卷饼,454.0,14.04,19.0,60.79,3.9,4.95,3.62,1039.0,28.0,"Pretzels, hard, peanut butter filled",fndd
花生酱夹心巧克力涂层曲奇,562.0,8.1,35.3,52.9,3.5,30.9,2.1,371.0,28.0,"Cookie, with peanut butter filling, chocolate-coated",fndd
花生酱夹心饼干,478.0,8.8,21.1,65.6,1.9,35.44,2.6,368.0,14.0,"Cookie, peanut butter sandwich",fndd
花生酱巧克力曲奇,475.0,7.8,25.29,59.51,3.0,34.73,2.35,356.0,25.0,"Cookie, peanut butter, with chocolate",fndd
花生酱巧克力酱,498.0,11.66,34.48,42.76,3.0,34.1,1.58,304.0,24.0,Peanut butter and chocolate spread,fndd
花生酱果冻三明治，低脂花生酱，全麦面包制,337.0,13.53,11.85,47.01,4.6,14.59,2.26,395.0,112.0,"Peanut butter and jelly sandwich, with reduced fat peanut butter, on wheat bread",fndd
花生酱果冻三明治，普通花生酱，低糖果冻，全麦面包款,339.0,12.45,16.82,37.42,4.6,11.04,2.19,357.0,112.0,"Peanut butter and jelly sandwich, with regular peanut butter, reduced sugar jelly, on wheat bread",fndd
花生酱果冻三明治，普通花生酱，低糖果冻，白面包制,341.0,11.4,16.61,39.45,2.9,11.11,2.3,363.0,112.0,"Peanut butter and jelly sandwich, with regular peanut butter, reduced sugar jelly, on white bread",fndd
花生酱果冻三明治，普通花生酱，普通果冻，全麦面包,360.0,12.48,16.81,43.2,4.5,14.93,2.22,363.0,112.0,"Peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on wheat bread",fndd
花生酱果冻三明治，普通花生酱，普通果冻，白面包,361.0,11.42,16.6,45.22,2.8,15.0,2.33,368.0,112.0,"Peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on white bread",fndd
花生酱果冻面包,432.0,11.18,25.69,46.13,3.0,30.86,0.96,228.0,24.0,Peanut butter and jelly,fndd
花生酱蛋糕,382.0,6.12,19.85,47.52,2.0,32.34,1.4,332.0,137.5,"Cake or cupcake, peanut butter",fndd
花生酱饼干,498.0,9.63,27.425,54.335,2.75,28.58,2.295,455.5,33.75,"Cookie, peanut butter",fndd
花生酱麦片,422.0,7.34,11.1,73.05,5.0,31.09,10.25,525.0,40.0,"Cereal, other, peanut butter",fndd
花生酱（大豆坚果）,613.0,23.02,50.01,23.0,10.6,7.47,2.35,290.0,24.0,Soy nut butter,fndd
花生酱，奶油味,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Fatty Acids, Peanut butter, creamy, store brand/other brand, GREAT VALUE (AL,OK) - NFY120CBG",foundation
花生酱，顺滑加盐口味,597.0,22.5,51.1,22.3,4.8,0.0,1.73,429.0,145.0,"Peanut butter, smooth style, with salt",foundation
花生（未烤）,567.0,25.8,49.24,16.13,8.5,4.72,4.58,18.0,28.35,"Peanuts, unroasted",fndd
花豆 干,0.0,21.6,1.3,0.0,3.9,0.0,3.49,0.0,0.0,"Beans, Dry, Pinto, 696 (0% moisture)",foundation
花豆 干 336 (0%水分),0.0,26.4,1.34,0.0,4.2,0.0,4.93,0.0,0.0,"Beans, Dry, Pinto, 336 (0% moisture)",foundation
花豆干,0.0,24.666666666666668,1.23,0.0,4.233333333333333,0.0,5.163333333333333,0.0,0.0,"Beans, Dry, Pinto, 11F-8106 (0% moisture)",foundation
芹菜,17.0,0.49109375,0.1575,3.31825625,1.6,1.34,0.0,97.90333333333332,40.0,"Celery, raw",foundation
芹菜汁,17.0,0.49,0.16,3.32,1.6,1.34,0.0,97.0,118.0,Celery juice,fndd
芹菜，煮熟的,42.0,0.52,2.9,3.46,1.7,1.4,0.0,231.0,78.0,"Celery, cooked",fndd
苋菜粉,0.0,13.2093,6.236,68.7787,7.209,0.0,7.56,0.0,0.0,"Flour, amaranth",foundation
苏打饼干,447.8,7.965999999999999,13.732,72.35400000000001,2.46,10.998,5.224,653.0,22.0,"Cookie, sugar wafer",fndd
苏打饼干 奶酪 全麦,412.0,9.62,16.03,57.29,6.4,0.0,3.46,706.0,21.0,"Crackers, cheese, whole grain",fndd
苏打饼干，无糖,531.0,3.57,28.57,66.26,14.3,0.0,1.29,71.0,8.5,"Cookie, sugar wafer, sugar free",fndd
苏打饼干，杂粮味,398.0,7.14,10.71,68.25,6.7,0.0,5.14,1214.0,18.0,"Crackers, saltine, multigrain",fndd
苏打饼干，马佐面包,395.0,10.0,1.4,83.7,3.0,0.29,3.16,0.0,23.0,"Crackers, matzo",fndd
苏格兰威士忌,231.0,0.0,0.0,0.0,0.0,0.0,0.04,1.0,42.0,Scotch,fndd
苜蓿芽,23.0,3.99,0.69,2.1,1.9,0.2,0.96,6.0,25.0,"Alfalfa sprouts, raw",fndd
苦瓜，煮熟,41.0,0.82,2.72,4.19,1.9,1.89,0.37,127.0,120.0,"Bitter melon, cooked",fndd
英式奶酪马芬,236.0,9.59,3.31,42.08,3.3,3.37,3.81,436.0,58.0,"Muffin, English, cheese",fndd
英式松饼火腿鸡蛋三明治,222.0,12.17,10.74,19.32,1.4,2.03,2.35,495.0,145.0,"Egg sandwich on English muffin, with ham",fndd
英式松饼蛋三明治配培根,255.0,14.08,13.72,18.64,1.4,1.85,2.31,574.0,150.0,"Egg sandwich on English muffin, with bacon",fndd
英式松饼蛋香肠三明治,264.0,12.89,16.52,16.04,1.2,1.8,2.14,501.0,180.0,"Egg sandwich on English muffin, with sausage",fndd
英式松饼鸡蛋三明治,230.0,11.74,11.2,20.63,1.5,2.07,2.46,444.0,135.0,Egg sandwich on English muffin,fndd
英式松饼，含除葡萄干外的水果,244.0,9.31,1.79,47.64,3.9,4.76,4.2,442.0,58.0,"Muffin, English, with fruit other than raisins",fndd
英式燕麦葡萄干松饼,230.0,8.21,1.84,47.94,4.6,7.34,2.77,323.0,58.0,"Muffin, English, wheat or cracked wheat, with raisins",fndd
英式葡萄干马芬,234.0,8.31,1.55,47.68,3.6,9.7,3.78,385.0,58.0,"Muffin, English, with raisins",fndd
英式马芬,227.0,8.87,1.69,44.17,3.5,3.53,4.0,425.0,58.0,"Muffin, English",fndd
英式麦芬，小麦或碎小麦,223.0,8.7,2.0,44.8,4.6,1.56,2.87,353.0,58.0,"Muffin, English, wheat or cracked wheat",fndd
英式黑麦玛芬,254.5,8.6,3.2,47.9,6.15,2.19,2.85,583.0,58.0,"Muffin, English, pumpernickel",fndd
苹果,61.0,0.17,0.15,14.8,2.1,12.08,0.03,0.0,182.5,"Apple, raw",fndd
苹果STRUDEL,281.0,1.96,14.08,37.18,0.8,21.1,0.3,132.0,125.0,"Strudel, apple",fndd
苹果干,243.0,0.93,0.32,65.89,8.7,57.19,1.4,87.0,40.0,"Apple, dried",fndd
苹果汁,46.0,0.09296875,0.20815,11.33198125,0.2,9.62,0.08008,4.436,31.0,"Apple juice, with added vitamin C, from concentrate, shelf stable",foundation
苹果汁饮料,22.0,0.0,0.1,5.1,0.0,4.8,0.2,13.0,31.0,"Apple juice beverage, 40-50% juice, light",fndd
苹果汁，100%,48.0,0.09,0.25,11.34,0.2,10.13,0.06,5.0,127.5,"Apple juice, 100%",fndd
苹果汁，100%，添加钙,48.0,0.12,0.17,11.49,0.3,9.47,0.13,5.0,31.0,"Apple juice, 100%, with calcium added",fndd
苹果沙拉配酱料,180.0,1.45,14.24,12.2,2.0,9.1,0.28,87.0,103.0,Apple salad with dressing,fndd
苹果泥,0.0,0.2734375,0.1625,12.2615625,0.0,0.0,0.04475,0.5038,0.0,"Applesauce, unsweetened, with added vitamin C",foundation
苹果派,256.5,2.375,11.97,35.555,1.7000000000000002,16.395,1.105,198.5,137.5,"Cobbler, apple",fndd
苹果派快餐版,316.0,3.0,16.1,42.6,2.6,21.4,1.22,333.0,125.0,"Pie, apple, fast food",fndd
苹果派馅料,100.0,0.1,0.1,26.1,1.0,13.8,0.29,47.0,195.0,Apple pie filling,fndd
苹果脆,215.0,2.81,9.59,30.18,2.7,15.82,1.0,119.0,125.0,"Crisp, apple",fndd
苹果蛋糕,376.0,2.41,17.5,52.52,0.9,39.48,0.9,280.0,160.0,"Cake or cupcake, apple",fndd
苹果酱,75.0,0.25,0.17,17.97,1.0,15.56,0.04,1.0,119.0,"Applesauce, regular",fndd
苹果酱无糖,52.0,0.27,0.16,12.26,1.1,9.66,0.04,1.0,116.5,"Applesauce, unsweetened",fndd
苹果酱，风味,75.0,0.25,0.17,17.97,1.0,15.56,0.04,1.0,119.0,"Applesauce, flavored",fndd
苹果，烤,113.0,0.32,3.08,22.7,2.5,19.01,0.19,4.0,210.0,"Apple, baked",fndd
苹果，糖渍,134.0,1.34,2.15,29.61,1.8,24.17,0.12,62.0,320.0,"Apple, candied",fndd
茂谷柑，去皮，生食,0.0,0.6875,0.6813,17.3962,1.289,0.0,0.0,0.0,0.0,"Mango, Ataulfo, peeled, raw",foundation
茄子奶酪番茄酱,90.0,6.16,4.84,6.34,2.2,3.39,0.45,325.0,148.5,Eggplant with cheese and tomato sauce,fndd
茄子帕尔马干酪焗烤料理,155.0,7.02,10.5,8.96,1.9,3.01,0.72,351.0,71.5,"Eggplant parmesan casserole, regular",fndd
茄子肉酿盅,96.0,7.11,5.53,4.67,1.5,2.89,0.85,176.0,177.5,Eggplant and meat casserole,fndd
茄子蘸酱,183.0,4.8,14.98,8.15,3.9,2.81,1.69,209.0,60.0,Eggplant dip,fndd
茄子，意大利，生的,0.0,0.0,0.06,0.0,2.38,0.0,0.0,0.0,0.0,"Eggplant, Italian, raw",foundation
茄子，煮熟，加油,51.0,1.03,2.92,6.13,3.1,3.68,0.24,132.0,77.5,"Eggplant, cooked, fat added",fndd
茄子，煮熟，无添加脂肪,27.0,1.05,0.19,6.3,3.2,3.78,0.25,127.0,75.0,"Eggplant, cooked, no added fat",fndd
茄子，熟，作原料,27.0,1.05,0.19,6.32,3.2,3.8,0.25,2.0,0.0,"Eggplant, cooked, as ingredient",fndd
茄子，生,25.0,0.9159375,0.15,5.6396625,2.724,3.53,0.23,1.22125,80.0,"Eggplant, raw",foundation
茄子，腌制,41.0,0.81,0.16,9.74,2.5,7.8,0.2,946.0,62.5,"Eggplant, pickled",fndd
茴香吐司,373.0,7.63,8.38,66.99,1.4,28.44,3.15,262.0,14.0,Anisette toast,fndd
茴香球，煮熟的,62.0,1.42,3.22,8.32,3.5,4.48,0.84,202.0,148.0,"Fennel bulb, cooked",fndd
茴香球，生,31.0,1.24,0.2,7.3,3.1,3.93,0.73,52.0,130.0,"Fennel bulb, raw",fndd
草药热茶,1.0,0.0,0.0,0.2,0.0,0.0,0.08,1.0,360.0,"Tea, hot, herbal",fndd
草莓,0.0,0.0,0.18,0.0,0.0,0.0,0.275,0.0,0.0,"strawberries, fresh, raw",foundation
草莓汁，100%,23.0,0.42,0.14,5.17,1.2,3.16,0.17,1.0,30.0,"Strawberry juice, 100%",fndd
草莓派,289.0,2.88,11.6,44.22,2.2,22.59,1.37,189.0,150.0,"Pie, strawberry",fndd
草莓牛奶（低糖）,59.0,3.27,2.1,6.72,0.0,6.69,0.01,39.0,248.0,"Strawberry milk, reduced sugar",fndd
草莓牛奶（全脂）,86.0,3.03,2.97,11.79,0.0,11.68,0.03,38.0,248.0,"Strawberry milk, whole",fndd
草莓牛奶，低脂（1%）,69.0,3.13,0.89,12.3,0.0,11.82,0.03,39.0,248.0,"Strawberry milk, low fat (1%)",fndd
草莓牛奶，低脂（2%）,71.0,3.16,1.8,10.7,0.0,10.46,0.03,39.0,248.0,"Strawberry milk, reduced fat (2%)",fndd
草莓牛奶，脱脂型,61.0,3.18,0.09,12.06,0.0,11.9,0.03,41.0,248.0,"Strawberry milk, fat free  (skim)",fndd
草莓蛋糕,270.0,2.765,8.81,45.17,0.7,31.64,1.235,298.0,156.25,"Cake or cupcake, strawberry",fndd
草莓饮料糖浆,261.0,0.0,0.02,65.1,0.0,65.0,0.03,0.0,30.0,Strawberry drink syrup,fndd
草莓（冷冻）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Strawberries, fresh, Region 4, n/a, Yes - Vitamin C (Frozen), NF0008WT",foundation
草莓（加糖）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Strawberries, Fresh, Pass 2, Region 1, n/a, Yes - Sugar, NFY0108ZE",foundation
荔枝,66.0,0.83,0.44,16.53,1.3,15.23,0.31,1.0,95.0,Lychee,fndd
荞麦粉,0.0,8.88492,2.484,75.01808,10.35,0.0,3.84,0.0,0.0,"Flour, buckwheat",foundation
荞麦粒,118.0,3.24,3.97,18.99,2.6,0.87,0.76,170.0,170.0,Buckwheat groats,fndd
荞麦面粉,0.0,0.0,2.63,0.0,8.995000000000001,0.0,2.675,0.0,0.0,"buckwheat, flour",foundation
荞麦，全谷物,0.0,11.06534,3.0445,71.13066,4.035500000000001,0.0,2.442,0.0,0.0,"Buckwheat, whole grain",foundation
荷兰豆沙拉,180.0,2.98,14.02,10.64,2.7,4.9,0.86,253.0,160.5,Pea salad,fndd
荷兰豆，冷冻，加油烹制,73.0,3.4,2.91,8.74,3.0,4.67,2.33,126.0,83.0,"Snowpeas, frozen, cooked, fat added",fndd
荷兰豆，冷冻，熟，无添加脂肪,52.0,3.49,0.38,8.99,3.1,4.81,2.39,121.0,80.0,"Snowpeas, frozen, cooked, no added fat",fndd
荷兰豆，加油烹熟,66.0,2.83,2.85,7.62,2.6,4.04,2.1,130.0,83.0,"Snowpeas, fresh, cooked, fat added",fndd
荷兰豆，熟制,66.0,2.83,2.85,7.62,2.6,4.04,2.1,130.0,83.0,"Snowpeas, NS as to form, cooked",fndd
荷兰豆，熟，无添加脂肪,44.0,2.91,0.21,7.84,2.7,4.15,2.16,125.0,80.0,"Snowpeas, fresh, cooked, no added fat",fndd
荷兰豆，生,42.0,2.8,0.2,7.55,2.6,4.0,2.08,4.0,33.0,"Snowpeas, raw",fndd
荸荠,78.0,1.38,0.09,19.22,3.9,3.84,1.36,12.0,79.0,Water Chesnut,fndd
莎莎酱,0.0,0.0,0.2,0.0,0.0,0.0,0.435,655.5,0.0,Salsa,foundation
莫吉托,61.0,0.09,0.03,2.45,0.2,1.82,0.11,15.0,225.0,Mojito,fndd
莫斯科骡子酒,91.0,0.0,0.01,8.6,0.0,8.71,0.14,5.0,225.0,Moscow mule,fndd
莲藕，熟制,87.0,1.54,2.61,15.51,3.0,0.49,0.87,165.0,63.0,"Lotus root, cooked",fndd
菊苣饮料,7.0,0.22,0.0,1.42,0.0,0.0,0.07,4.0,240.0,Chicory beverage,fndd
菌类，山毛榉蘑菇,0.0,2.18,0.4494,6.7593,3.139,0.0,0.7388,0.8913,0.0,"Mushroom, beech",foundation
菜心，冷冻，煮熟，加脂,41.0,2.21,2.79,3.02,2.7,0.32,1.09,145.0,127.5,"Mustard greens, frozen, cooked, fat added",fndd
菜心，冷冻，黄油或人造黄油煮熟,55.0,2.89,2.58,6.88,2.7,0.56,1.08,178.0,131.5,"Collards, frozen, cooked with butter or margarine",fndd
菜心，煮熟，无添加脂肪,29.0,3.07,0.45,5.01,3.4,1.42,1.76,146.0,105.0,"Mustard greens, fresh, cooked, no added fat",fndd
菜心，熟食,53.0,2.99,3.18,4.87,3.3,1.38,1.71,151.0,112.5,"Mustard greens, NS as to form, cooked",fndd
菜心，生食,27.0,2.86,0.42,4.67,3.2,1.32,1.64,20.0,42.0,"Mustard greens, raw",fndd
菜梗子，冷冻，加脂烹制,51.0,3.25,2.95,4.83,3.3,0.73,1.88,136.0,127.5,"Turnip greens, frozen, cooked, fat added",fndd
菜籽油,900.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,65.26666666666667,CANOLA OIL,foundation
菜蓟叶，熟制，具体形态不限,42.0,1.11,2.77,4.23,3.4,0.52,0.78,149.0,112.5,"Turrnip greens, NS as to form, cooked",fndd
菜薹，加脂烹煮,42.0,1.11,2.77,4.23,3.4,0.52,0.78,149.0,112.5,"Turnip greens, fresh, cooked, fat added",fndd
菠菜印度干酪,101.0,5.42,7.02,4.28,0.9,1.89,0.55,242.0,150.0,Palak Paneer,fndd
菠菜填充意面饺配番茄酱,121.0,4.49,4.36,16.11,1.2,1.31,1.22,596.0,200.0,"Tortellini, spinach-filled, with tomato sauce",fndd
菠菜奶酪填充意面壳,187.0,9.56,6.63,22.36,1.0,0.32,1.95,439.0,152.0,"Stuffed shells, cheese- and spinach- filled, no sauce",fndd
菠菜奶酪烩菜,130.0,7.05,7.59,9.86,2.8,1.01,1.74,311.0,150.0,Spinach and cheese casserole,fndd
