description_en,description_zh
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (CA) - NFY090SUT",金枪鱼罐头，CHICKEN OF THE SEA CHUNK LIGHT，水浸，去水固体（加州）- NFY090SUT
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (CA) - NFY090SUU",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体（加州）- NFY090SUU
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (CA) - NFY090SUV",金枪鱼罐头，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体（加州）- NFY090SUV
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (CO) - NFY090SXC",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体（CO）- NFY090SXC）
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (CO) - NFY090SXD",金枪鱼罐头，鸡肉海块轻量，水浸，沥干固体（鸡肉海品牌）- NFY090SXD
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (CO) - NFY090SXE",金枪鱼罐头，水浸，CHICKEN OF THE SEA CHUNK LIGHT，去水净重（CO）- NFY090SXE
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (CO) - NFY090SXF",金枪鱼罐头，水浸，CHICKEN OF THE SEA CHUNK LIGHT，去水固体含量（CO）- NFY090SXF
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (CO) - NFY090SXG",金枪鱼罐头，鸡肉海块轻，水浸，沥干固体（CO）- NFY090SXG
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (CO) - NFY090SXH",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体（CO）- NFY090SXH
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (CO) - NFY090SXI",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体（CO）- NFY090SXI
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (CO) - NFY090SXJ",金枪鱼罐头，鸡肉海块轻量，水浸，沥干固体（鸡肉海品牌）- NFY090SXJ
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (CT) - NFY090SBR",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，去水固体（CT）- NFY090SBR）
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (CT) - NFY090SBS",金枪鱼罐头，Chicken of the Sea块状轻质，水浸，沥干固体
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (CT) - NFY090SBT",金枪鱼罐头，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体（CT）- NFY090SBT
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (CT) - NFY090SBU",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，去水固体（CT）- NFY090SBU
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (CT) - NFY090SBV",金枪鱼，水浸，CHICKEN OF THE SEA CHUNK LIGHT，去水固体（CT）款
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (CT) - NFY090SBW",金枪鱼罐头，鸡肉海块轻量，水浸，沥干固体（CHICKEN OF THE SEA CHUNK LIGHT）
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (CT) - NFY090SBX",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，去水（CT）
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (CT) - NFY090SBY",金枪鱼罐头，鸡肉海块轻量，水浸，沥干固体（CT）- NFY090SBY
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (FL) - NFY090S94",金枪鱼罐头，鸡肉海块轻量，水浸，沥干固体（FL）- NFY090S94）
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (FL) - NFY090S95",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体（FL）- NFY090S95
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (FL) - NFY090S96",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体（FL）- NFY090S96
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (FL) - NFY090S97",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，去水固体（FL）- NFY090S97
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (FL) - NFY090S98",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体（FL）- NFY090S98
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (FL) - NFY090S99",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干物（FL）
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (FL) - NFY090S9A",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干物（FL）- NFY090S9A
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (FL) - NFY090S9B",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，去水（FL）
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (IN) - NFY090STV",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体（内）- NFY090STV
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (IN) - NFY090STW",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体（内）- NFY090STW
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (IN) - NFY090STX",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体（内）- NFY090STX
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (IN) - NFY090STY",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体（内）- NFY090STY
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (IN) - NFY090STZ",金枪鱼罐头，鸡肉海块轻量，水浸，沥干固体（内）- NFY090STZ
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (IN) - NFY090SU0",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体（内）- NFY090SU0
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (IN) - NFY090SU1",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体（内）
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (IN) - NFY090SU2",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，去水固体（内）
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (MI) - NFY090SQG",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，去水固体含量（MI）- NFY090SQG
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (MI) - NFY090SQH",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，去水固体含量（MI）- NFY090SQH
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (MI) - NFY090SQI",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，去水固体含量
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (MI) - NFY090SQJ",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，去水固体含量（MI）- NFY090SQJ
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (MI) - NFY090SQK",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，去水固体（MI）款
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (MI) - NFY090SQL",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干物（MI）- NFY090SQL
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (MI) - NFY090SQM",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体（MI）- NFY090SQM
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (MI) - NFY090SQN",金枪鱼罐头，鸡肉海块轻量级，水浸，去水净重（MI）- NFY090SQN
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (MO) - NFY090SYU",金枪鱼罐头，鸡肉海块轻量型，水浸，沥干固体（MO）- NFY090SYU
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (MO) - NFY090SYV",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，去水固体（MO）款
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (MO) - NFY090SYW",金枪鱼，水浸，CHICKEN OF THE SEA CHUNK LIGHT，去水固体含量（MO）版
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (MO) - NFY090SYX",金枪鱼罐头，鸡肉海块轻量，水浸，去水（MO）- NFY090SYX
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (MO) - NFY090SYY",金枪鱼，水浸，CHICKEN OF THE SEA CHUNK LIGHT，去水固体（MO）款
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (MO) - NFY090SYZ",金枪鱼罐头，Chicken of the Sea碎轻块，水浸，去水固体
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (MO) - NFY090SZ0",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体（MO）
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (MO) - NFY090SZ1",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体（MO）
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (NC) - NFY090R89",金枪鱼罐头，鸡肉海块轻量级，水浸，沥干固体（NC）- NFY090R89
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (NC) - NFY090R8A",金枪鱼罐头，鸡肉海块轻量，水浸，沥干固体（NC）- NFY090R8A
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (NC) - NFY090R8B",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体（NC）- NFY090R8B）
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (NC) - NFY090R8C",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，去水净重（NC）- NFY090R8C
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (NC) - NFY090R8D",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体（NC）- NFY090R8D）
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (NC) - NFY090R8E",金枪鱼罐头，CHICKEN OF THE SEA CHUNK LIGHT，水浸，去水净重（NC）- NFY090R8E）
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (NC) - NFY090R8F",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体（NC）- NFY090R8F
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (NC) - NFY090R8G",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体（NC）- NFY090R8G
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (NY) - NFY090S7P",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体（纽约）- NFY090S7P
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (NY) - NFY090S7Q",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，去水净重（纽约）- NFY090S7Q
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (NY) - NFY090S7R",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，去水固体（纽约）- NFY090S7R
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (NY) - NFY090S7S",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，去水固体（纽约）- NFY090S7S
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (NY) - NFY090S7T",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，去水固体（纽约）- NFY090S7T
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (NY) - NFY090S7U",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，去水（纽约）- NFY090S7U
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (NY) - NFY090S7V",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，去水固体（纽约）- NFY090S7V
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (NY) - NFY090S7W",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体（纽约）- NFY090S7W
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (OK) - NFY090T04",金枪鱼罐头，水浸，CHICKEN OF THE SEA CHUNK LIGHT，去水净重（可接受）- NFY090T04版
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (OK) - NFY090T05",金枪鱼罐头，鸡肉海块轻量，水浸，沥干固体（水份）- CHICKEN OF THE SEA CHUNK LIGHT
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (OK) - NFY090T06",金枪鱼罐头，CHICKEN OF THE SEA CHUNK LIGHT，水浸，去水净重
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (OK) - NFY090T07",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体（合格）- NFY090T07
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (OK) - NFY090T08",金枪鱼罐头，CHICKEN OF THE SEA CHUNK LIGHT，水浸，去水净重（可接受）- NFY090T08
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (OK) - NFY090T09",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (OK) - NFY090T0A",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，去水（沥干固体）
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (OK) - NFY090T0B",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (VA) - NFY090TB6",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体（VA）- NFY090TB6
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (VA) - NFY090TB7",金枪鱼罐头，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体重量（VA）- NFY090TB7
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (VA) - NFY090TB8",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体（VA）- NFY090TB8
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (VA) - NFY090TB9",金枪鱼罐头，Chicken of the Sea块状轻质，水浸，沥干固体（VA）- NFY090TB9
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (VA) - NFY090TBA",金枪鱼，水浸，CHICKEN OF THE SEA CHUNK LIGHT，去水固体含量（VA）- NFY090TBA
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (VA) - NFY090TBB",金枪鱼罐头，鸡肉海块轻量，水浸，沥干固体（VA）- NFY090TBB
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (VA) - NFY090TBC",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，去水固体（VA）- NFY090TBC
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (VA) - NFY090TBD",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体（VA）- NFY090TBD
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (VA) - NFY090TBE",金枪鱼，水浸，CHICKEN OF THE SEA CHUNK LIGHT，去水固体含量（VA）- NFY090TBE
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (VA) - NFY090TBF",金枪鱼，水浸，CHICKEN OF THE SEA CHUNK LIGHT，去水固体含量（VA）版
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (VA) - NFY090TBG",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体（VA）- NFY090TBG
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (VA) - NFY090TBH",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体（VA）- NFY090TBH
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (VA) - NFY090TBI",金枪鱼罐头，鸡肉海块轻量，水浸，沥干固体（VA）- NFY090TBI）
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (VA) - NFY090TBJ",金枪鱼罐头，CHICKEN OF THE SEA CHUNK LIGHT，水浸，去水固体（VA）- NFY090TBJ
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (VA) - NFY090TBK",金枪鱼罐头，鸡肉海块轻质，水浸，沥干固体（VA）- NFY090TBK）
"Tuna, canned, CHICKEN OF THE SEA CHUNK LIGHT, IN WATER, drained solids (VA) - NFY090TBL",金枪鱼，罐装，CHICKEN OF THE SEA CHUNK LIGHT，水浸，沥干固体（VA）- NFY090TBL
"Tuna, canned, GREAT VALUE, in water, drained solids (AL) - NFY090SS0",金枪鱼罐头，大品牌价值，水浸，沥干固体（AL）- NFY090SS0
"Tuna, canned, GREAT VALUE, in water, drained solids (AL) - NFY090SS1",金枪鱼罐头，大实惠牌，水浸，去水实肉
"Tuna, canned, GREAT VALUE, in water, drained solids (AL) - NFY090SS2",金枪鱼罐头，GREAT VALUE，水浸，去水固体含量(AL) - NFY090SS2
"Tuna, canned, GREAT VALUE, in water, drained solids (AL) - NFY090SS3",金枪鱼，罐装，GREAT VALUE，水浸，沥干固体（AL）- NFY090SS3
"Tuna, canned, GREAT VALUE, in water, drained solids (AL) - NFY090SS4",金枪鱼罐头，大实惠牌，水浸，去水实重
"Tuna, canned, GREAT VALUE, in water, drained solids (AL) - NFY090SS5",金枪鱼罐头，大品牌价值，水浸，沥干固体（AL）- NFY090SS5
"Tuna, canned, GREAT VALUE, in water, drained solids (AL) - NFY090SS6",金枪鱼罐头，GREAT VALUE，水浸，去水固体(AL) - NFY090SS6
"Tuna, canned, GREAT VALUE, in water, drained solids (AL) - NFY090SS7",金枪鱼罐头，大润发品牌，水浸，沥干固体（AL）- NFY090SS7
"Tuna, canned, GREAT VALUE, in water, drained solids (FL) - NFY090S9K",金枪鱼罐头，GREAT VALUE，水浸，沥干固体（FL）- NFY090S9K
"Tuna, canned, GREAT VALUE, in water, drained solids (FL) - NFY090S9L",金枪鱼罐头，GREAT VALUE，水浸，沥干固体（FL）- NFY090S9L）
"Tuna, canned, GREAT VALUE, in water, drained solids (FL) - NFY090S9M",金枪鱼罐头，GREAT VALUE，水浸，沥干固体（FL）- NFY090S9M
"Tuna, canned, GREAT VALUE, in water, drained solids (FL) - NFY090S9N",金枪鱼罐头，大润发品牌，水浸，去水实重
"Tuna, canned, GREAT VALUE, in water, drained solids (FL) - NFY090S9O",金枪鱼罐头，大品牌价值，水浸，沥干固体（FL）- NFY090S9O
"Tuna, canned, GREAT VALUE, in water, drained solids (FL) - NFY090S9P",金枪鱼罐头，GREAT VALUE，水浸，沥干固体（FL）- NFY090S9P
"Tuna, canned, GREAT VALUE, in water, drained solids (FL) - NFY090S9Q",金枪鱼，罐装，GREAT VALUE，水浸，去水（FL）- NFY090S9Q
"Tuna, canned, GREAT VALUE, in water, drained solids (FL) - NFY090S9R",金枪鱼罐头，GREAT VALUE，水浸，去水固体含量（FL）- NFY090S9R
"Tuna, canned, GREAT VALUE, in water, drained solids (OK) - NFY090T0K",金枪鱼罐头，大品牌，水浸，沥干固体重量（OK）- NFY090T0K
"Tuna, canned, GREAT VALUE, in water, drained solids (OK) - NFY090T0L","金枪鱼，罐装，GREAT VALUE，水浸，沥干固体含量（合格）- NFY090T0L（这一项似乎不需要翻译，因为它可能是产品代码，所以保留原文）的话，

罐装水浸金枪鱼（GREAT VALUE）"
"Tuna, canned, GREAT VALUE, in water, drained solids (OK) - NFY090T0M",金枪鱼罐头，大品牌，水浸，沥干固体重量（OK）- NFY090T0M
"Tuna, canned, GREAT VALUE, in water, drained solids (OK) - NFY090T0N",金枪鱼罐头，GREAT VALUE，水浸，去水净重
"Tuna, canned, GREAT VALUE, in water, drained solids (OK) - NFY090T0O","金枪鱼罐头，GREAT VALUE，水浸，沥干固体含量（OK）- NFY090T0O中的中文名为：
水浸金枪鱼罐头（GREAT VALUE）"
"Tuna, canned, GREAT VALUE, in water, drained solids (OK) - NFY090T0P",金枪鱼罐头，大品牌，水浸，去水净重（OK）- NFY090T0P
"Tuna, canned, GREAT VALUE, in water, drained solids (OK) - NFY090T0Q",金枪鱼罐头，大实惠牌，水浸，去水固体（OK）- NFY090T0Q
"Tuna, canned, GREAT VALUE, in water, drained solids (OK) - NFY090T0R",金枪鱼罐头，大品牌，水浸，沥干固体（合格）- NFY090T0R
"Tuna, canned, KROGER, in water, drained solids (IN) - NFY090STF",金枪鱼罐头， Kroger牌，水浸，去水实肉型 (IN) - NFY090STF
"Tuna, canned, KROGER, in water, drained solids (IN) - NFY090STG",金枪鱼，罐装，克洛格牌，水浸，沥干固体（IN）- NFY090STG
"Tuna, canned, KROGER, in water, drained solids (IN) - NFY090STH",金枪鱼罐头，克洛格牌，水浸，去水（IN）- NFY090STH
"Tuna, canned, KROGER, in water, drained solids (IN) - NFY090STI",金枪鱼，罐装，克洛格牌，水浸，沥干固体（IN）- NFY090STI
"Tuna, canned, KROGER, in water, drained solids (IN) - NFY090STJ",金枪鱼，罐装，KROGER，水浸，沥干固体
"Tuna, canned, KROGER, in water, drained solids (IN) - NFY090STK",金枪鱼罐头，水浸，克洛格品牌，去水净重（印）- NFY090STK
"Tuna, canned, KROGER, in water, drained solids (IN) - NFY090STL",金枪鱼，罐装，克罗格牌，水浸，沥干固体（产品代码：NFY090STL）
"Tuna, canned, KROGER, in water, drained solids (IN) - NFY090STM",金枪鱼罐头， Kroger牌，水浸，去水固体含量（印第安纳州）- NFY090STM
"Tuna, canned, KROGER, in water, drained solids (MI) - NFY090SQW",金枪鱼罐头，克罗格牌，水浸，去水（密歇根州）- NFY090SQW
"Tuna, canned, KROGER, in water, drained solids (MI) - NFY090SQX",金枪鱼罐头， Kroger牌，水浸，去水实重（密歇根）- NFY090SQX
"Tuna, canned, KROGER, in water, drained solids (MI) - NFY090SQY",金枪鱼罐头，水浸，KROGER品牌，去水固体（MI）- NFY090SQY
"Tuna, canned, KROGER, in water, drained solids (MI) - NFY090SQZ",金枪鱼，罐装，KROGER，水浸，去水（MI）- NFY090SQZ
"Tuna, canned, KROGER, in water, drained solids (MI) - NFY090SR0",金枪鱼罐头，KROGER，水浸，去水固体（密歇根州）- NFY090SR0
"Tuna, canned, KROGER, in water, drained solids (MI) - NFY090SR1",金枪鱼，罐装，克罗格牌，水浸，去水（密歇根）- NFY090SR1
"Tuna, canned, KROGER, in water, drained solids (MI) - NFY090SR2",金枪鱼，水浸，KROGER品牌，去水固体（密歇根）- NFY090SR2
"Tuna, canned, KROGER, in water, drained solids (MI) - NFY090SR3",金枪鱼，罐装，克罗格牌，水浸，去水（密歇根）- NFY090SR3
"Tuna, canned, MIDWEST COUNTRY FARE, in water, drained solids (MO) - NFY090SZA",金枪鱼，罐装，MIDWEST COUNTRY FARE，水浸，去水（MO）- NFY090SZA
"Tuna, canned, MIDWEST COUNTRY FARE, in water, drained solids (MO) - NFY090SZB",金枪鱼，罐装，MIDWEST COUNTRY FARE，水浸，去水（MO）
"Tuna, canned, MIDWEST COUNTRY FARE, in water, drained solids (MO) - NFY090SZC",金枪鱼，罐装，MIDWEST COUNTRY FARE，水浸，沥干固体（MO）- NFY090SZC
"Tuna, canned, MIDWEST COUNTRY FARE, in water, drained solids (MO) - NFY090SZD",金枪鱼，罐装，MIDWEST COUNTRY FARE，水浸，沥干固体（MO）- NFY090SZD
"Tuna, canned, MIDWEST COUNTRY FARE, in water, drained solids (MO) - NFY090SZE",金枪鱼，罐装，MIDWEST COUNTRY FARE，水浸，去水（MO）款
"Tuna, canned, MIDWEST COUNTRY FARE, in water, drained solids (MO) - NFY090SZF",金枪鱼，罐装，MIDWEST COUNTRY FARE，水浸，去水（MO）- NFY090SZF
"Tuna, canned, MIDWEST COUNTRY FARE, in water, drained solids (MO) - NFY090SZG",金枪鱼，罐装，MIDWEST COUNTRY FARE，水浸，去水（MO）- NFY090SZG
"Tuna, canned, MIDWEST COUNTRY FARE, in water, drained solids (MO) - NFY090SZH",金枪鱼，罐装，MIDWEST COUNTRY FARE，水浸，沥干固体（MO）- NFY090SZH
"Tuna, canned, MY ESSENTIALS, in water, drained solids (NC) - NFY090R7P",金枪鱼罐头，MY ESSENTIALS，水浸，沥干固体（NC）- NFY090R7P
"Tuna, canned, MY ESSENTIALS, in water, drained solids (NC) - NFY090R7Q",金枪鱼罐头，MY ESSENTIALS，水浸，去水净重（NC）- NFY090R7Q
"Tuna, canned, MY ESSENTIALS, in water, drained solids (NC) - NFY090R7R",金枪鱼罐头，MY ESSENTIALS，水浸，沥干固体（NC）- NFY090R7R
"Tuna, canned, MY ESSENTIALS, in water, drained solids (NC) - NFY090R7S",金枪鱼罐头，MY ESSENTIALS，水浸，沥干固体（NC）- NFY090R7S）
